0001|මෙහෙම නේ කියන්නේ. ෂෙයික් මොහොමඩ් බින් රෂීඩ් අල් මක්හ්තුම්. එයා ප්රසිද්ධ වෙලා තිබෙන්නේ ෂෙයික් රෂීඩ් කියලා.|
0002|දැන් ඇත්තටම එයා නොවෙයි, ඩුබායි බලන්නේ එයාගේ|
0003|දවසක් එයාගෙන් අහනවා.|
0005|එමිරේට්ස් රාජධානිය සවුදි අරාබියාවත් එක්ක පටලවා ගන්න එපා.|
0009|ඒකෙන් වැඩියෙන්ම ලෝකයේ නම කියවෙන තැන|
0010|දැන් මුස්ලිම් ප්රතිශතය තමයි ඉතාම අඩු. උපරිම විස්සක් ඉඳී. ඉතුරු අය|
0011|ඔක්කෝම වෙන වෙන රටවල්වලින් ගිහිල්ලා පදිංචි වෙච්ච අය තමයි ඩුබායිවල ඉන්නේ.|
0012|ඩුබායිවල නීති රීතිත් පොඩ්ඩක් හදලා තිබෙන්නේ විදේශිකයන්ට පොඩ්ඩක්|
0013|අයියත් ඒ පැත්තේ කිට්ටුව රටක නේ ඉන්නේ.|
0014|බී බී සී එකෙන්, ඔබ මොකක්ද මේ රටට කරන්න හදන්නේ කියලා අහනවා.|
0015|හැමදාම මොකක්හරි හදනවා. එයා කියනවා, මට ඕනේ අංක එක වෙන්න.|
0016|මේ කලාපයේ නොවෙයි. මට ඕනේ මුළු ලෝකේම, හැම දේකින්ම අංක එක වෙන්න ඩුබායි.|
0017|ගෙවල් දොරවල් බැලුවොත්, මගේ මිනිස්සු ජීවත් වෙන විධිය බැලුවොත්|
0018|ඒ මිනිස්සුන්ගේ සන්තෝසේ බැලුවොත්, ඒ හැම එකකින්ම අංක එක වෙන්නයි මට ඕනේ මගේ මිනිස්සු. ඒකයි මම කරන්න හදන්නේ.|
0019|අපි දැන් ඩුබායි ඉතිහාසය ගමුකෝ. අපේ තියෙනවා නේ පුරුද්දක්.|
0020|දෙදාස් ගණන් ඉතිහාසයේ|
0021|එක්දාස් නමසීය හැටේ දී ඒ කියන්නේ|
0022|එක්දාස් නමසීය හැටේදී ඩුබායි කියන්නේ කාන්තාරයක් විතරයි.|
0023|ඊටපස්සේ හරිම පොඩි කාලයක් ඇතුළත|
0024|දෙදහස් විසිදෙක වෙනකොට අද ඩුබායිවලට කියන්නේ, “ලෝකයේ වැඩ බිම” කියලා.|
0025|“වර්ල්ඩ්ස් ද බිගස්ට් කන්ස්ට්රක්ශන් සයිට්”|
0026|හැම වෙලාවෙම මොකක්|
0027|එක්දාස් නමසීය හැටේ ඉඳලා ආපු ගමනක් තියෙන්නේ. මම හිතන්නේ, අපිට වැරදුණේ අපිට දෙදහස් පන්සීයක්|
0028|එක්දාස් නමසීය හැටේ පටන් ගත්ත රට තමයි අර ඔතැනට ඇවිල්ලා තියෙන්නේ.|
0029|දැන් මේ රට හදන්න ගන්නේ තෙල්වලින් කියලා නේ අපි හිතන්නේ.|
0031|අපි කියනවා, දළ දේශීය නිෂ්පාදිතයට බලපාන්නේ තෙල්වලින් හම්බවෙන ආදායමෙන් සියයට පහයි.|
0032|අදටත් ඩුබායි කියලා කියන්නේ ලෝකයේ ලොකුම පරිමාණයේ ගනුදෙනු සිද්ධ වෙන වෙළෙඳ නගරය.|
0033|මිනිස්සු බිස්නස් කථා කරන්න ඩුබායිවලට යන්නේ.|
0034|හදලා, වැහි වස්සපු රටවල් ඒවා. අපට තියෙන කඳු ගණින්නත් බැහැ.|
